"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2017K3";"40 Telemark";20794;3,1
"2017K3";"42 Agder";38504;5,7
"2017K3";"46 Vestland";79683;11,8
"2017K3";"50 Trøndelag - Trööndelage";57487;8,5
"2017K3";"55 Troms - Romsa - Tromssa ";20439;3
"2017K3";"56 Finnmark - Finnmárku - Finmarkku";9227;1,4
"2017K3";"98 Utland";2;0
"2017K3";"99 Ukjent";8273;1,2
"2017K4";"00 I alt";673073;100
"2017K4";"03 Oslo";77865;11,6
"2017K4";"11 Rogaland";63673;9,5
"2017K4";"15 Møre og Romsdal";33014;4,9
"2017K4";"18 Nordland - Nordlánnda";29328;4,4
"2017K4";"31 Østfold";37167;5,5
"2017K4";"32 Akershus";92010;13,7
"2017K4";"33 Buskerud";32602;4,8
"2017K4";"34 Innlandet";42588;6,3
"2017K4";"39 Vestfold";30448;4,5
"2017K4";"40 Telemark";20723;3,1
"2017K4";"42 Agder";38462;5,7
"2017K4";"46 Vestland";79554;11,8
"2017K4";"50 Trøndelag - Trööndelage";57641;8,6
"2017K4";"55 Troms - Romsa - Tromssa ";20390;3
"2017K4";"56 Finnmark - Finnmárku - Finmarkku";9225;1,4
"2017K4";"98 Utland";2;0
"2017K4";"99 Ukjent";8381;1,2
"2018K1";"00 I alt";670871;100
"2018K1";"03 Oslo";77962;11,6
"2018K1";"11 Rogaland";63557;9,5
"2018K1";"15 Møre og Romsdal";32928;4,9
"2018K1";"18 Nordland - Nordlánnda";29171;4,3
"2018K1";"31 Østfold";37025;5,5
"2018K1";"32 Akershus";91851;13,7
"2018K1";"33 Buskerud";32406;4,8
"2018K1";"34 Innlandet";42415;6,3
"2018K1";"39 Vestfold";30325;4,5
"2018K1";"40 Telemark";20632;3,1
"2018K1";"42 Agder";38301;5,7
"2018K1";"46 Vestland";79327;11,8
"2018K1";"50 Trøndelag - Trööndelage";57423;8,6
"2018K1";"55 Troms - Romsa - Tromssa ";20319;3
"2018K1";"56 Finnmark - Finnmárku - Finmarkku";9236;1,4
"2018K1";"98 Utland";2;0
"2018K1";"99 Ukjent";7991;1,2
"2018K2";"00 I alt";672264;100
"2018K2";"03 Oslo";78274;11,6
"2018K2";"11 Rogaland";63648;9,5
"2018K2";"15 Møre og Romsdal";32892;4,9
"2018K2";"18 Nordland - Nordlánnda";29198;4,3
"2018K2";"31 Østfold";37083;5,5
"2018K2";"32 Akershus";92363;13,7
"2018K2";"33 Buskerud";32468;4,8
"2018K2";"34 Innlandet";42386;6,3
"2018K2";"39 Vestfold";30338;4,5
"2018K2";"40 Telemark";20633;3,1
"2018K2";"42 Agder";38393;5,7
"2018K2";"46 Vestland";79263;11,8
"2018K2";"50 Trøndelag - Trööndelage";57503;8,6
"2018K2";"55 Troms - Romsa - Tromssa ";20302;3
"2018K2";"56 Finnmark - Finnmárku - Finmarkku";9178;1,4
"2018K2";"98 Utland";67;0
"2018K2";"99 Ukjent";8275;1,2
"2018K3";"00 I alt";670922;100
"2018K3";"03 Oslo";78682;11,7
"2018K3";"11 Rogaland";63675;9,5
"2018K3";"15 Møre og Romsdal";33087;4,9
"2018K3";"18 Nordland - Nordlánnda";29137;4,3
"2018K3";"31 Østfold";37385;5,6
"2018K3";"32 Akershus";93309;13,9
"2018K3";"33 Buskerud";32745;4,9
"2018K3";"34 Innlandet";42439;6,3
"2018K3";"39 Vestfold";30420;4,5
"2018K3";"40 Telemark";20572;3,1
"2018K3";"42 Agder";38489;5,7
"2018K3";"46 Vestland";79437;11,8
"2018K3";"50 Trøndelag - Trööndelage";57259;8,5
"2018K3";"55 Troms - Romsa - Tromssa ";20257;3
"2018K3";"56 Finnmark - Finnmárku - Finmarkku";9068;1,4
"2018K3";"98 Utland";4759;0,7
"2018K3";"99 Ukjent";202;0
"2018K4";"00 I alt";670916;100
