"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2024K1";"03 Oslo";80175;12
"2024K1";"11 Rogaland";63985;9,6
"2024K1";"15 Møre og Romsdal";31640;4,7
"2024K1";"18 Nordland - Nordlánnda";27869;4,2
"2024K1";"31 Østfold";37095;5,6
"2024K1";"32 Akershus";96995;14,6
"2024K1";"33 Buskerud";32576;4,9
"2024K1";"34 Innlandet";40849;6,1
"2024K1";"39 Vestfold";30256;4,5
"2024K1";"40 Telemark";20095;3
"2024K1";"42 Agder";38612;5,8
"2024K1";"46 Vestland";76760;11,5
"2024K1";"50 Trøndelag - Trööndelage";57116;8,6
"2024K1";"55 Troms - Romsa - Tromssa ";19207;2,9
"2024K1";"56 Finnmark - Finnmárku - Finmarkku";8451;1,3
"2024K1";"98 Utland";4361;0,7
"2024K1";"99 Ukjent";163;0
"2024K2";"00 I alt";665848;100
"2024K2";"03 Oslo";80251;12,1
"2024K2";"11 Rogaland";63894;9,6
"2024K2";"15 Møre og Romsdal";31502;4,7
"2024K2";"18 Nordland - Nordlánnda";27857;4,2
"2024K2";"31 Østfold";37091;5,6
"2024K2";"32 Akershus";97071;14,6
"2024K2";"33 Buskerud";32528;4,9
"2024K2";"34 Innlandet";40831;6,1
"2024K2";"39 Vestfold";30245;4,5
"2024K2";"40 Telemark";20136;3
"2024K2";"42 Agder";38632;5,8
"2024K2";"46 Vestland";76619;11,5
"2024K2";"50 Trøndelag - Trööndelage";57076;8,6
"2024K2";"55 Troms - Romsa - Tromssa ";19157;2,9
"2024K2";"56 Finnmark - Finnmárku - Finmarkku";8392;1,3
"2024K2";"98 Utland";4411;0,7
"2024K2";"99 Ukjent";155;0
"2024K3";"00 I alt";666807;100
"2024K3";"03 Oslo";80205;12
"2024K3";"11 Rogaland";63975;9,6
"2024K3";"15 Møre og Romsdal";31546;4,7
"2024K3";"18 Nordland - Nordlánnda";27796;4,2
"2024K3";"31 Østfold";37137;5,6
"2024K3";"32 Akershus";97402;14,6
"2024K3";"33 Buskerud";32588;4,9
"2024K3";"34 Innlandet";40827;6,1
"2024K3";"39 Vestfold";30327;4,5
"2024K3";"40 Telemark";20163;3
"2024K3";"42 Agder";38724;5,8
"2024K3";"46 Vestland";76693;11,5
"2024K3";"50 Trøndelag - Trööndelage";57075;8,6
"2024K3";"55 Troms - Romsa - Tromssa ";19100;2,9
"2024K3";"56 Finnmark - Finnmárku - Finmarkku";8307;1,2
"2024K3";"98 Utland";4790;0,7
"2024K3";"99 Ukjent";152;0
"2024K4";"00 I alt";669146;100
"2024K4";"03 Oslo";80472;12
"2024K4";"11 Rogaland";64219;9,6
"2024K4";"15 Møre og Romsdal";31715;4,7
"2024K4";"18 Nordland - Nordlánnda";27935;4,2
"2024K4";"31 Østfold";37265;5,6
"2024K4";"32 Akershus";97680;14,6
"2024K4";"33 Buskerud";32620;4,9
"2024K4";"34 Innlandet";41018;6,1
"2024K4";"39 Vestfold";30437;4,5
"2024K4";"40 Telemark";20226;3
"2024K4";"42 Agder";38837;5,8
"2024K4";"46 Vestland";76943;11,5
"2024K4";"50 Trøndelag - Trööndelage";57408;8,6
"2024K4";"55 Troms - Romsa - Tromssa ";19144;2,9
"2024K4";"56 Finnmark - Finnmárku - Finmarkku";8317;1,2
"2024K4";"98 Utland";4769;0,7
"2024K4";"99 Ukjent";141;0
"2025K1";"00 I alt";669695;100
"2025K1";"03 Oslo";80576;12
"2025K1";"11 Rogaland";64295;9,6
"2025K1";"15 Møre og Romsdal";31737;4,7
"2025K1";"18 Nordland - Nordlánnda";27901;4,2
"2025K1";"31 Østfold";37212;5,6
"2025K1";"32 Akershus";97779;14,6
"2025K1";"33 Buskerud";32560;4,9
"2025K1";"34 Innlandet";41011;6,1
"2025K1";"39 Vestfold";30412;4,5
"2025K1";"40 Telemark";20142;3
"2025K1";"42 Agder";38880;5,8
"2025K1";"46 Vestland";77046;11,5
"2025K1";"50 Trøndelag - Trööndelage";57452;8,6
"2025K1";"55 Troms - Romsa - Tromssa ";19164;2,9
"2025K1";"56 Finnmark - Finnmárku - Finmarkku";8337;1,2
"2025K1";"98 Utland";5029;0,8
"2025K1";"99 Ukjent";162;0
"2025K2";"00 I alt";669431;100
"2025K2";"03 Oslo";80627;12
"2025K2";"11 Rogaland";64402;9,6
"2025K2";"15 Møre og Romsdal";31695;4,7
"2025K2";"18 Nordland - Nordlánnda";27764;4,1
"2025K2";"31 Østfold";37173;5,6
"2025K2";"32 Akershus";97839;14,6
"2025K2";"33 Buskerud";32502;4,9
"2025K2";"34 Innlandet";40997;6,1
"2025K2";"39 Vestfold";30343;4,5
"2025K2";"40 Telemark";20062;3
"2025K2";"42 Agder";38813;5,8
"2025K2";"46 Vestland";76812;11,5
"2025K2";"50 Trøndelag - Trööndelage";57446;8,6
"2025K2";"55 Troms - Romsa - Tromssa ";19134;2,9
"2025K2";"56 Finnmark - Finnmárku - Finmarkku";8349;1,2
"2025K2";"98 Utland";5307;0,8
"2025K2";"99 Ukjent";166;0
"2025K3";"00 I alt";669754;100
"2025K3";"03 Oslo";80578;12
"2025K3";"11 Rogaland";64456;9,6
"2025K3";"15 Møre og Romsdal";31618;4,7
"2025K3";"18 Nordland - Nordlánnda";27737;4,1
"2025K3";"31 Østfold";37226;5,6
"2025K3";"32 Akershus";98024;14,6
"2025K3";"33 Buskerud";32511;4,9
"2025K3";"34 Innlandet";41082;6,1
"2025K3";"39 Vestfold";30326;4,5
"2025K3";"40 Telemark";20038;3
"2025K3";"42 Agder";38845;5,8
"2025K3";"46 Vestland";76718;11,5
"2025K3";"50 Trøndelag - Trööndelage";57374;8,6
"2025K3";"55 Troms - Romsa - Tromssa ";19054;2,8
"2025K3";"56 Finnmark - Finnmárku - Finmarkku";8364;1,2
"2025K3";"98 Utland";5657;0,8
"2025K3";"99 Ukjent";146;0
