"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202508;0,9;"prosent";"3101 Halden";"kommune";"Delvis ledige"
202501;3,4;"prosent";"3101 Halden";"kommune";"Helt ledige"
202502;3,2;"prosent";"3101 Halden";"kommune";"Helt ledige"
202503;2,9;"prosent";"3101 Halden";"kommune";"Helt ledige"
202504;2,7;"prosent";"3101 Halden";"kommune";"Helt ledige"
202505;2,8;"prosent";"3101 Halden";"kommune";"Helt ledige"
202506;3,1;"prosent";"3101 Halden";"kommune";"Helt ledige"
202507;3,1;"prosent";"3101 Halden";"kommune";"Helt ledige"
202508;3,2;"prosent";"3101 Halden";"kommune";"Helt ledige"
202501;221;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202502;234;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202503;222;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202504;181;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202505;183;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202506;145;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202507;102;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202508;91;"antall";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202501;228;"antall";"3103 Moss";"kommune";"Delvis ledige"
202502;256;"antall";"3103 Moss";"kommune";"Delvis ledige"
202503;238;"antall";"3103 Moss";"kommune";"Delvis ledige"
202504;257;"antall";"3103 Moss";"kommune";"Delvis ledige"
202505;248;"antall";"3103 Moss";"kommune";"Delvis ledige"
202506;240;"antall";"3103 Moss";"kommune";"Delvis ledige"
202507;190;"antall";"3103 Moss";"kommune";"Delvis ledige"
202508;233;"antall";"3103 Moss";"kommune";"Delvis ledige"
202501;726;"antall";"3103 Moss";"kommune";"Helt ledige"
202502;687;"antall";"3103 Moss";"kommune";"Helt ledige"
202503;701;"antall";"3103 Moss";"kommune";"Helt ledige"
202504;639;"antall";"3103 Moss";"kommune";"Helt ledige"
202505;658;"antall";"3103 Moss";"kommune";"Helt ledige"
202506;679;"antall";"3103 Moss";"kommune";"Helt ledige"
202507;720;"antall";"3103 Moss";"kommune";"Helt ledige"
202508;692;"antall";"3103 Moss";"kommune";"Helt ledige"
202501;0,9;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202502;0,9;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202503;0,9;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202504;0,7;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202505;0,7;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202506;0,6;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202507;0,4;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202508;0,4;"prosent";"3103 Moss";"kommune";"Arbeidssøkere på tiltak"
202501;0,9;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202502;1;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202503;0,9;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202504;1;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202505;1;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202506;0,9;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202507;0,7;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202508;0,9;"prosent";"3103 Moss";"kommune";"Delvis ledige"
202501;2,8;"prosent";"3103 Moss";"kommune";"Helt ledige"
202502;2,7;"prosent";"3103 Moss";"kommune";"Helt ledige"
202503;2,7;"prosent";"3103 Moss";"kommune";"Helt ledige"
202504;2,5;"prosent";"3103 Moss";"kommune";"Helt ledige"
